"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de meubles (NAF rév. 2, niveau groupe, poste 31.0)";"Codes"
"idBank";"010768180";""
"Dernière mise à jour";"03/04/2026 08:45";""
"Période";"";""
"2026-02";"77.38";"A"
"2026-01";"78.13";"A"
"2025-12";"75.59";"A"
"2025-11";"77.6";"A"
"2025-10";"78.97";"A"
"2025-09";"77.89";"A"
"2025-08";"74.61";"A"
"2025-07";"80.17";"A"
"2025-06";"80.82";"A"
"2025-05";"77.74";"A"
"2025-04";"77.74";"A"
"2025-03";"77.86";"A"
"2025-02";"80.17";"A"
"2025-01";"78.3";"A"
"2024-12";"82.17";"A"
"2024-11";"81.44";"A"
"2024-10";"77.25";"A"
"2024-09";"79.76";"A"
"2024-08";"74.93";"A"
"2024-07";"81.0";"A"
"2024-06";"79.98";"A"
"2024-05";"84.11";"A"
"2024-04";"87.62";"A"
"2024-03";"85.69";"A"
"2024-02";"82.14";"A"
"2024-01";"85.28";"A"
"2023-12";"90.09";"A"
"2023-11";"82.24";"A"
"2023-10";"87.6";"A"
"2023-09";"89.0";"A"
"2023-08";"95.1";"A"
"2023-07";"90.52";"A"
"2023-06";"87.15";"A"
"2023-05";"93.77";"A"
"2023-04";"94.04";"A"
"2023-03";"91.65";"A"
"2023-02";"92.95";"A"
"2023-01";"92.27";"A"
"2022-12";"91.67";"A"
"2022-11";"99.1";"A"
"2022-10";"99.17";"A"
"2022-09";"98.8";"A"
"2022-08";"102.53";"A"
"2022-07";"93.76";"A"
"2022-06";"97.36";"A"
"2022-05";"97.49";"A"
"2022-04";"91.38";"A"
"2022-03";"97.61";"A"
"2022-02";"95.63";"A"
"2022-01";"101.05";"A"
"2021-12";"98.97";"A"
"2021-11";"99.45";"A"
"2021-10";"99.27";"A"
"2021-09";"96.69";"A"
"2021-08";"99.09";"A"
"2021-07";"96.32";"A"
"2021-06";"99.76";"A"
"2021-05";"95.44";"A"
"2021-04";"100.95";"A"
"2021-03";"101.48";"A"
"2021-02";"104.52";"A"
"2021-01";"108.05";"A"
"2020-12";"97.31";"A"
"2020-11";"99.41";"A"
"2020-10";"104.84";"A"
"2020-09";"105.72";"A"
"2020-08";"108.77";"A"
"2020-07";"98.58";"A"
"2020-06";"91.96";"A"
"2020-05";"62.34";"A"
"2020-04";"16.38";"A"
"2020-03";"56.21";"A"
"2020-02";"107.06";"A"
"2020-01";"105.62";"A"
"2019-12";"103.32";"A"
"2019-11";"102.29";"A"
"2019-10";"104.92";"A"
"2019-09";"104.21";"A"
"2019-08";"97.69";"A"
"2019-07";"107.2";"A"
"2019-06";"108.33";"A"
"2019-05";"109.67";"A"
"2019-04";"97.04";"A"
"2019-03";"102.61";"A"
"2019-02";"101.44";"A"
"2019-01";"100.85";"A"
"2018-12";"96.38";"A"
"2018-11";"98.09";"A"
"2018-10";"101.13";"A"
"2018-09";"97.18";"A"
"2018-08";"98.94";"A"
"2018-07";"99.62";"A"
"2018-06";"103.02";"A"
"2018-05";"102.2";"A"
"2018-04";"108.32";"A"
"2018-03";"103.74";"A"
"2018-02";"101.75";"A"
"2018-01";"105.09";"A"
"2017-12";"119.52";"A"
"2017-11";"110.47";"A"
"2017-10";"103.09";"A"
"2017-09";"111.51";"A"
"2017-08";"108.84";"A"
"2017-07";"108.67";"A"
"2017-06";"105.45";"A"
"2017-05";"105.89";"A"
"2017-04";"105.46";"A"
"2017-03";"109.63";"A"
"2017-02";"107.88";"A"
"2017-01";"104.44";"A"
"2016-12";"112.33";"A"
"2016-11";"107.01";"A"
"2016-10";"105.12";"A"
"2016-09";"105.96";"A"
"2016-08";"118.27";"A"
"2016-07";"107.59";"A"
"2016-06";"104.51";"A"
"2016-05";"109.15";"A"
"2016-04";"108.45";"A"
"2016-03";"111.04";"A"
"2016-02";"110.65";"A"
"2016-01";"111.07";"A"
"2015-12";"108.7";"A"
"2015-11";"109.88";"A"
"2015-10";"108.91";"A"
"2015-09";"105.78";"A"
"2015-08";"106.51";"A"
"2015-07";"104.1";"A"
"2015-06";"107.47";"A"
"2015-05";"106.68";"A"
"2015-04";"106.04";"A"
"2015-03";"101.92";"A"
"2015-02";"102.88";"A"
"2015-01";"104.33";"A"
"2014-12";"104.12";"A"
"2014-11";"104.4";"A"
"2014-10";"101.72";"A"
"2014-09";"107.16";"A"
"2014-08";"105.68";"A"
"2014-07";"102.13";"A"
"2014-06";"105.75";"A"
"2014-05";"105.22";"A"
"2014-04";"107.3";"A"
"2014-03";"109.7";"A"
"2014-02";"106.29";"A"
"2014-01";"107.58";"A"
"2013-12";"113.07";"A"
"2013-11";"111.86";"A"
"2013-10";"111.58";"A"
"2013-09";"108.94";"A"
"2013-08";"105.61";"A"
"2013-07";"109.74";"A"
"2013-06";"109.17";"A"
"2013-05";"109.36";"A"
"2013-04";"115.28";"A"
"2013-03";"111.02";"A"
"2013-02";"112.87";"A"
"2013-01";"112.32";"A"
"2012-12";"118.23";"A"
"2012-11";"116.93";"A"
"2012-10";"119.43";"A"
"2012-09";"120.79";"A"
"2012-08";"125.13";"A"
"2012-07";"125.22";"A"
"2012-06";"125.19";"A"
"2012-05";"124.6";"A"
"2012-04";"122.46";"A"
"2012-03";"124.85";"A"
"2012-02";"124.9";"A"
"2012-01";"125.24";"A"
"2011-12";"125.98";"A"
"2011-11";"127.28";"A"
"2011-10";"125.17";"A"
"2011-09";"131.04";"A"
"2011-08";"132.15";"A"
"2011-07";"132.37";"A"
"2011-06";"124.57";"A"
"2011-05";"133.92";"A"
"2011-04";"130.97";"A"
"2011-03";"130.16";"A"
"2011-02";"129.54";"A"
"2011-01";"128.5";"A"
"2010-12";"126.49";"A"
"2010-11";"126.64";"A"
"2010-10";"132.43";"A"
"2010-09";"124.98";"A"
"2010-08";"128.05";"A"
"2010-07";"123.89";"A"
"2010-06";"125.54";"A"
"2010-05";"125.59";"A"
"2010-04";"124.51";"A"
"2010-03";"129.58";"A"
"2010-02";"126.98";"A"
"2010-01";"130.26";"A"
"2009-12";"129.6";"A"
"2009-11";"130.09";"A"
"2009-10";"128.43";"A"
"2009-09";"130.99";"A"
"2009-08";"126.06";"A"
"2009-07";"127.75";"A"
"2009-06";"126.51";"A"
"2009-05";"130.34";"A"
"2009-04";"130.55";"A"
"2009-03";"131.27";"A"
"2009-02";"133.38";"A"
"2009-01";"134.14";"A"
"2008-12";"137.68";"A"
"2008-11";"138.27";"A"
"2008-10";"142.54";"A"
"2008-09";"144.68";"A"
"2008-08";"145.02";"A"
"2008-07";"147.33";"A"
"2008-06";"147.49";"A"
"2008-05";"147.62";"A"
"2008-04";"150.78";"A"
"2008-03";"152.93";"A"
"2008-02";"154.2";"A"
"2008-01";"154.24";"A"
"2007-12";"148.2";"A"
"2007-11";"153.75";"A"
"2007-10";"157.49";"A"
"2007-09";"157.87";"A"
"2007-08";"158.75";"A"
"2007-07";"160.33";"A"
"2007-06";"165.84";"A"
"2007-05";"161.25";"A"
"2007-04";"161.65";"A"
"2007-03";"156.77";"A"
"2007-02";"158.88";"A"
"2007-01";"157.33";"A"
"2006-12";"159.07";"A"
"2006-11";"157.95";"A"
"2006-10";"156.31";"A"
"2006-09";"156.12";"A"
"2006-08";"150.16";"A"
"2006-07";"157.59";"A"
"2006-06";"161.1";"A"
"2006-05";"159.96";"A"
"2006-04";"159.59";"A"
"2006-03";"159.24";"A"
"2006-02";"156.9";"A"
"2006-01";"155.68";"A"
"2005-12";"155.09";"A"
"2005-11";"163.87";"A"
"2005-10";"159.04";"A"
"2005-09";"156.96";"A"
"2005-08";"163.2";"A"
"2005-07";"153.92";"A"
"2005-06";"157.94";"A"
"2005-05";"161.83";"A"
"2005-04";"161.59";"A"
"2005-03";"162.19";"A"
"2005-02";"163.7";"A"
"2005-01";"163.46";"A"
"2004-12";"166.26";"A"
"2004-11";"167.35";"A"
"2004-10";"164.97";"A"
"2004-09";"167.21";"A"
"2004-08";"164.65";"A"
"2004-07";"164.53";"A"
"2004-06";"163.21";"A"
"2004-05";"162.85";"A"
"2004-04";"165.02";"A"
"2004-03";"164.2";"A"
"2004-02";"168.74";"A"
"2004-01";"167.35";"A"
"2003-12";"165.68";"A"
"2003-11";"164.37";"A"
"2003-10";"167.23";"A"
"2003-09";"168.16";"A"
"2003-08";"167.38";"A"
"2003-07";"168.03";"A"
"2003-06";"169.38";"A"
"2003-05";"168.57";"A"
"2003-04";"171.59";"A"
"2003-03";"172.15";"A"
"2003-02";"174.82";"A"
"2003-01";"175.08";"A"
"2002-12";"168.02";"A"
"2002-11";"173.73";"A"
"2002-10";"177.03";"A"
"2002-09";"173.91";"A"
"2002-08";"178.51";"A"
"2002-07";"176.69";"A"
"2002-06";"178.64";"A"
"2002-05";"176.94";"A"
"2002-04";"180.57";"A"
"2002-03";"177.93";"A"
"2002-02";"177.29";"A"
"2002-01";"180.4";"A"
"2001-12";"180.49";"A"
"2001-11";"176.1";"A"
"2001-10";"183.15";"A"
"2001-09";"182.98";"A"
"2001-08";"185.12";"A"
"2001-07";"186.02";"A"
"2001-06";"195.13";"A"
"2001-05";"193.09";"A"
"2001-04";"191.89";"A"
"2001-03";"195.53";"A"
"2001-02";"194.09";"A"
"2001-01";"193.57";"A"
"2000-12";"194.99";"A"
"2000-11";"193.77";"A"
"2000-10";"190.36";"A"
"2000-09";"188.56";"A"
"2000-08";"191.23";"A"
"2000-07";"191.98";"A"
"2000-06";"189.26";"A"
"2000-05";"197.86";"A"
"2000-04";"189.87";"A"
"2000-03";"192.42";"A"
"2000-02";"186.89";"A"
"2000-01";"181.13";"A"
"1999-12";"187.4";"A"
"1999-11";"182.57";"A"
"1999-10";"187.59";"A"
"1999-09";"189.01";"A"
"1999-08";"186.88";"A"
"1999-07";"190.78";"A"
"1999-06";"187.13";"A"
"1999-05";"186.08";"A"
"1999-04";"187.66";"A"
"1999-03";"188.78";"A"
"1999-02";"184.29";"A"
"1999-01";"189.23";"A"
"1998-12";"186.89";"A"
"1998-11";"194.01";"A"
"1998-10";"191.34";"A"
"1998-09";"190.13";"A"
"1998-08";"181.93";"A"
"1998-07";"188.47";"A"
"1998-06";"188.44";"A"
"1998-05";"187.51";"A"
"1998-04";"187.26";"A"
"1998-03";"187.15";"A"
"1998-02";"187.13";"A"
"1998-01";"186.66";"A"
"1997-12";"185.87";"A"
"1997-11";"186.1";"A"
"1997-10";"185.8";"A"
"1997-09";"176.46";"A"
"1997-08";"178.35";"A"
"1997-07";"175.36";"A"
"1997-06";"172.98";"A"
"1997-05";"172.38";"A"
"1997-04";"172.14";"A"
"1997-03";"170.78";"A"
"1997-02";"177.62";"A"
"1997-01";"172.64";"A"
"1996-12";"179.93";"A"
"1996-11";"179.58";"A"
"1996-10";"179.17";"A"
"1996-09";"181.41";"A"
"1996-08";"174.77";"A"
"1996-07";"171.56";"A"
"1996-06";"183.32";"A"
"1996-05";"185.21";"A"
"1996-04";"182.6";"A"
"1996-03";"184.23";"A"
"1996-02";"183.61";"A"
"1996-01";"179.36";"A"
"1995-12";"183.41";"A"
"1995-11";"180.26";"A"
"1995-10";"183.62";"A"
"1995-09";"186.25";"A"
"1995-08";"179.8";"A"
"1995-07";"183.57";"A"
"1995-06";"178.38";"A"
"1995-05";"179.14";"A"
"1995-04";"183.04";"A"
"1995-03";"187.48";"A"
"1995-02";"184.4";"A"
"1995-01";"187.94";"A"
"1994-12";"200.61";"A"
"1994-11";"196.42";"A"
"1994-10";"195.63";"A"
"1994-09";"193.09";"A"
"1994-08";"195.55";"A"
"1994-07";"191.88";"A"
"1994-06";"195.79";"A"
"1994-05";"194.42";"A"
"1994-04";"194.65";"A"
"1994-03";"190.23";"A"
"1994-02";"191.87";"A"
"1994-01";"195.23";"A"
"1993-12";"188.4";"A"
"1993-11";"191.35";"A"
"1993-10";"192.49";"A"
"1993-09";"195.21";"A"
"1993-08";"196.14";"A"
"1993-07";"196.56";"A"
"1993-06";"194.18";"A"
"1993-05";"195.08";"A"
"1993-04";"196.61";"A"
"1993-03";"196.52";"A"
"1993-02";"198.89";"A"
"1993-01";"204.37";"A"
"1992-12";"197.98";"A"
"1992-11";"200.36";"A"
"1992-10";"201.14";"A"
"1992-09";"203.24";"A"
"1992-08";"201.17";"A"
"1992-07";"203.88";"A"
"1992-06";"203.06";"A"
"1992-05";"206.96";"A"
"1992-04";"206.68";"A"
"1992-03";"204.08";"A"
"1992-02";"205.8";"A"
"1992-01";"205.99";"A"
"1991-12";"206.9";"A"
"1991-11";"207.83";"A"
"1991-10";"207.12";"A"
"1991-09";"205.6";"A"
"1991-08";"209.21";"A"
"1991-07";"208.93";"A"
"1991-06";"212.42";"A"
"1991-05";"210.83";"A"
"1991-04";"211.8";"A"
"1991-03";"211.76";"A"
"1991-02";"204.21";"A"
"1991-01";"210.52";"A"
"1990-12";"217.57";"A"
"1990-11";"212.34";"A"
"1990-10";"215.03";"A"
"1990-09";"215.47";"A"
"1990-08";"214.24";"A"
"1990-07";"214.81";"A"
"1990-06";"220.21";"A"
"1990-05";"220.16";"A"
"1990-04";"216.26";"A"
"1990-03";"218.25";"A"
"1990-02";"215.34";"A"
"1990-01";"211.45";"A"
